id_,year,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,realinc,racecen1,relig,spkmslm,spkhomo,childs,age,educ,sex,partyid,spkath,spkrac,spkcom,spkmil,sexnow
389,2018,Yes,Yes,Yes,Yes,Yes,Yes,No,,Black or african american,Catholic,"Yes, allowed",Not allowed,0,38,14,Male,Strong democrat,Allowed,Allowed,Allowed,Allowed,Not applicable
390,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Black or african american,Protestant,Not applicable,Not applicable,7,76,14,Female,Independent,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
391,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17025,American indian or alaska native,Protestant,"Yes, allowed",Allowed,2,55,13,Female,Independent,Allowed,Not allowed,Allowed,Allowed,
392,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6242.5,White,None,Not applicable,Not applicable,0,28,18,Male,Strong democrat,Not applicable,Not applicable,Not applicable,Not applicable,Man
393,2018,Yes,Yes,Yes,Yes,Yes,No,No,,Black or african american,Christian,Not allowed,Allowed,0,18,9,Female,Not str democrat,Not allowed,Not allowed,Allowed,Allowed,Not applicable
394,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3405,Asian indian,None,Not allowed,Allowed,0,24,17,Female,"Ind,near dem",Allowed,Allowed,Allowed,Not allowed,Women
395,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,72640,White,Other,"Yes, allowed",Allowed,0,34,0,Male,Not str democrat,Allowed,Allowed,Allowed,Allowed,Not applicable
396,2018,Yes,No,Yes,No,,No,No,119879.4173,White,Protestant,"Yes, allowed",Allowed,3,77,16,Female,Strong republican,Allowed,Allowed,Allowed,Allowed,Women
397,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12485,White,Protestant,Not applicable,Not applicable,0,89,12,Male,"Ind,near rep",Not applicable,Not applicable,Not applicable,Not applicable,Man
398,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,54480,White,Protestant,Not applicable,Not applicable,2,69,19,Male,Strong democrat,Not applicable,Not applicable,Not applicable,Not applicable,Man
399,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,24970,White,None,"Yes, allowed",Allowed,2,70,12,Male,"Ind,near dem",Allowed,Allowed,Allowed,,Not applicable
